pu-met-fast-002-001                                                             
       238 number of neutron groups
       134   number of sensitivity profiles          70 are region integrated
  1.000844 +/-   0.000100  k-eff from the forward case
energy boundaries:
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00
  1.592464E-16  3.905148E-16  4.432900E-10  5.025541E-10  8.925280E-10
  5.517111E-09  9.892487E-09  1.918808E-08  2.958825E-08  1.187322E-08
  3.481068E-08  1.834662E-08  5.638667E-09  2.875626E-08  2.972608E-08
  1.105074E-08  5.569697E-09  5.298048E-09  9.445531E-09  7.489803E-09
  1.621361E-08  1.539857E-08  1.690427E-08  4.065772E-09  5.294381E-09
  3.179125E-09  9.459337E-09  1.692842E-08  1.860575E-08  2.681599E-09
  2.235743E-08  9.573669E-09  9.131414E-09  2.179824E-08  1.208388E-08
  1.300309E-08  8.732190E-09  9.416621E-09  3.609214E-08  3.330774E-08
  4.035716E-08  2.932038E-08  1.279169E-08  1.721779E-08  9.113386E-09
  1.986181E-09  4.881695E-09  1.583527E-09  9.486697E-09  5.294873E-09
  1.629056E-09  3.970692E-09  1.116970E-08  3.701274E-09  5.650684E-09
  3.225480E-09  2.844026E-09  1.612820E-09  2.011916E-09  1.886797E-09
  5.076655E-13  1.026750E-09  2.361846E-10  6.912853E-10  1.317055E-13
  1.264327E-09  2.104303E-09  4.631383E-13  6.430439E-10  4.658508E-14
  1.018146E-09  1.363780E-12  7.114337E-13  1.292120E-11  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00
ga-69        elastic          31069      2
      0      0                                                  
  0.000000E+00  0.000000E+00      0      0
  1.712960E-03  7.040349E-06  1.712965E-03 -2.309110E-09  1.177424E-10
  1.350367E-09  7.018051E-09  1.190012E-08  1.757724E-08  3.800359E-08
  6.035012E-07  1.952644E-06  7.029873E-06  2.387414E-05  1.587594E-05
  8.715487E-05  6.713805E-05  1.827894E-05  1.002278E-04  1.052278E-04
  3.988984E-05  1.768953E-05  1.580309E-05  3.104507E-05  2.336549E-05
  5.464475E-05  5.595713E-05  6.198983E-05  1.480678E-05  1.769483E-05
  1.047287E-05  3.069154E-05  6.324804E-05  6.308129E-05  8.683317E-06
  7.062875E-05  2.912437E-05  2.652778E-05  5.663720E-05  3.593757E-05
  3.422422E-05  2.613301E-05  2.699780E-05  9.405077E-05  7.787505E-05
  9.352526E-05  6.775706E-05  2.672347E-05  3.298715E-05  1.730526E-05
  2.743999E-06  6.866656E-06  1.764901E-06  1.286410E-05  7.067656E-06
  1.627360E-06  4.300447E-06  1.037067E-05  3.363114E-06  4.195862E-06
  1.596061E-06  1.304854E-06  4.547077E-07  5.457526E-07  4.687884E-07
  1.157809E-08  2.217539E-07  3.136733E-08  7.601680E-08  8.191581E-09
  6.270565E-08  5.471095E-08  2.047455E-09  1.236553E-08  7.714528E-09
 -1.838037E-09  8.616937E-11  5.235065E-10  6.579438E-10  6.725236E-11
 -4.469480E-11 -1.356569E-11  4.510016E-12 -1.749703E-10  1.222233E-10
  9.297583E-11  0.000000E+00  0.000000E+00 -1.875317E-10 -2.687484E-11
  3.221542E-11  0.000000E+00  0.000000E+00 -1.877073E-11  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00 -4.665130E-12
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
